Timezones are UTC,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1602504000.0,2020-10-12 12-PM,BTCUSD,11213,11213,11213,11213,0.0,0.0
1602500400.0,2020-10-12 11-AM,BTCUSD,11213.57,11213.57,11213,11213,0.05903,661.92
1602496800.0,2020-10-12 10-AM,BTCUSD,11305.14,11305.14,11213.57,11213.57,0.3879,4365.21
1602493200.0,2020-10-12 09-AM,BTCUSD,11390,11399.99,11305.14,11305.14,0.01409,160.28
1602489600.0,2020-10-12 08-AM,BTCUSD,11361.31,11390,11361.31,11390,0.001756,20.0
1602486000.0,2020-10-12 07-AM,BTCUSD,11361.31,11361.31,11361.31,11361.31,0.0,0.0
1602482400.0,2020-10-12 06-AM,BTCUSD,11361.31,11361.31,11361.31,11361.31,0.0,0.0
1602478800.0,2020-10-12 05-AM,BTCUSD,11300.05,11361.31,11300.05,11361.31,0.0004983,5.662
1602475200.0,2020-10-12 04-AM,BTCUSD,11300.05,11300.05,11300.05,11300.05,0.0,0.0
1602471600.0,2020-10-12 03-AM,BTCUSD,11300.05,11300.05,11300.05,11300.05,0.0,0.0
1602468000.0,2020-10-12 02-AM,BTCUSD,11300.05,11300.05,11300.05,11300.05,0.0,0.0
1602464400.0,2020-10-12 01-AM,BTCUSD,11300.05,11300.05,11300.05,11300.05,0.0,0.0
1602460800.0,2020-10-12 12-AM,BTCUSD,11300.05,11300.05,11300.05,11300.05,0.0,0.0
1602457200.0,2020-10-11 11-PM,BTCUSD,11300.05,11300.05,11300.05,11300.05,0.0,0.0
1602453600.0,2020-10-11 10-PM,BTCUSD,11300.05,11300.05,11300.05,11300.05,0.0,0.0
1602450000.0,2020-10-11 09-PM,BTCUSD,11400,11400,11300.01,11300.05,0.01361,153.77
1602446400.0,2020-10-11 08-PM,BTCUSD,11400,11400,11400,11400,0.0,0.0
1602442800.0,2020-10-11 07-PM,BTCUSD,11400,11400,11400,11400,0.0,0.0
1602439200.0,2020-10-11 06-PM,BTCUSD,11400,11400,11400,11400,0.0,0.0
1602435600.0,2020-10-11 05-PM,BTCUSD,11400,11400,11400,11400,0.0,0.0
1602432000.0,2020-10-11 04-PM,BTCUSD,11400,11400,11400,11400,0.0,0.0
1602428400.0,2020-10-11 03-PM,BTCUSD,11280.03,11400,11280.03,11400,0.0106,120.87
1602424800.0,2020-10-11 02-PM,BTCUSD,11400,11400,11280.02,11280.03,0.004859,54.81
1602421200.0,2020-10-11 01-PM,BTCUSD,11400,11400,11400,11400,0.0,0.0
1602417600.0,2020-10-11 12-PM,BTCUSD,11400,11400,11400,11400,0.0,0.0
1602414000.0,2020-10-11 11-AM,BTCUSD,11276.25,11400,11276.25,11400,0.1187,1351.94
1602410400.0,2020-10-11 10-AM,BTCUSD,11272.3,11290.13,10701.77,11276.25,0.2333,2625.45
1602406800.0,2020-10-11 09-AM,BTCUSD,11272.3,11272.3,11272.3,11272.3,0.0,0.0
1602403200.0,2020-10-11 08-AM,BTCUSD,11295.23,11295.23,10845,11272.3,0.05474,614.2
1602399600.0,2020-10-11 07-AM,BTCUSD,11295.23,11295.23,11295.23,11295.23,0.0,0.0
1602396000.0,2020-10-11 06-AM,BTCUSD,11295.23,11295.23,11295.23,11295.23,0.0,0.0
1602392400.0,2020-10-11 05-AM,BTCUSD,11295.23,11295.23,11295.23,11295.23,0.0,0.0
1602388800.0,2020-10-11 04-AM,BTCUSD,11295.23,11295.23,11295.23,11295.23,0.0,0.0
1602385200.0,2020-10-11 03-AM,BTCUSD,11295.23,11295.23,11295.23,11295.23,0.0,0.0
1602381600.0,2020-10-11 02-AM,BTCUSD,11295.23,11295.23,11295.23,11295.23,0.0,0.0
1602378000.0,2020-10-11 01-AM,BTCUSD,11295.23,11295.23,11295.23,11295.23,0.0,0.0
1602374400.0,2020-10-11 12-AM,BTCUSD,11295.23,11295.23,11295.23,11295.23,0.0,0.0
1602370800.0,2020-10-10 11-PM,BTCUSD,11399.99,11399.99,11295.23,11295.23,0.00139,15.7
1602367200.0,2020-10-10 10-PM,BTCUSD,11399.99,11399.99,11399.99,11399.99,0.0,0.0
1602363600.0,2020-10-10 09-PM,BTCUSD,11381.34,11399.99,11381.34,11399.99,0.01663,189.55
1602360000.0,2020-10-10 08-PM,BTCUSD,11381.34,11381.34,11381.34,11381.34,0.0,0.0
1602356400.0,2020-10-10 07-PM,BTCUSD,11381.34,11381.34,11381.34,11381.34,0.0,0.0
1602352800.0,2020-10-10 06-PM,BTCUSD,11381.34,11381.34,11381.34,11381.34,0.0,0.0
1602349200.0,2020-10-10 05-PM,BTCUSD,11381.34,11381.34,11381.34,11381.34,0.0,0.0
1602345600.0,2020-10-10 04-PM,BTCUSD,11381.34,11381.34,11381.34,11381.34,0.0,0.0
1602342000.0,2020-10-10 03-PM,BTCUSD,11288.06,11381.34,11288.06,11381.34,0.01219,138.76
1602338400.0,2020-10-10 02-PM,BTCUSD,11288.06,11288.06,11288.06,11288.06,0.0,0.0
1602334800.0,2020-10-10 01-PM,BTCUSD,11288.06,11288.06,11288.06,11288.06,0.0,0.0
1602331200.0,2020-10-10 12-PM,BTCUSD,11288.06,11288.06,11288.06,11288.06,0.0,0.0
1602327600.0,2020-10-10 11-AM,BTCUSD,11288.06,11288.06,11288.06,11288.06,0.0,0.0
